zip_code,year,population
01054,2016,1972
01054,2015,1993
01054,2014,1836
01054,2013,1759
01054,2012,1812
01054,2011,1756
01054,2010,1851
01056,2016,21352
01056,2015,21348
01056,2014,21288
01056,2013,21247
01056,2012,21146
01056,2011,21131
01056,2010,21103
01057,2016,8773
01057,2015,8712
01057,2014,8645
01057,2013,8707
01057,2012,8511
01057,2011,8492
01057,2010,8534
01060,2016,15407
01060,2015,15229
01060,2014,15348
01060,2013,15026
01060,2012,15065
01060,2011,14984
01060,2010,15284
01062,2016,10867
01062,2015,11029
01062,2014,10830
01062,2013,11007
01062,2012,10980
01062,2011,11027
01062,2010,11150
01063,2016,563
01063,2015,572
01063,2014,612
01063,2013,644
01063,2012,671
01063,2011,697
01063,2010,430
01066,2016,12
01066,2015,10
01066,2014,10
01066,2013,0
01066,2012,0
01066,2011,0
01066,2010,64
01068,2016,1825
01068,2015,1803
01068,2014,1791
01068,2013,1839
01068,2012,1796
01068,2011,1822
01068,2010,1902
01069,2016,8753
01069,2015,8976
01069,2014,8982
01069,2013,8975
01069,2012,8881
01069,2011,8935
01069,2010,8469
01070,2016,562
01070,2015,565
01070,2014,580
01070,2013,579
01070,2012,529
01070,2011,580
01070,2010,629
01071,2016,1271
01071,2015,1318
01071,2014,1361
01071,2013,1401
01071,2012,1485
01071,2011,1619
01071,2010,1596
01072,2016,1542
01072,2015,1465
01072,2014,1482
01072,2013,1464
01072,2012,1449
01072,2011,1518
01072,2010,1478
01073,2016,6081
01073,2015,6022
01073,2014,5958
01073,2013,5878
01073,2012,5828
01073,2011,5758
01073,2010,5792
01074,2016,228
01074,2015,247
01074,2014,301
01074,2013,56
01074,2012,271
01074,2011,338
01074,2010,319
01075,2016,17770
01075,2015,17781
01075,2014,17832
01075,2013,17796
01075,2012,17705
01075,2011,17566
01075,2010,17527
01077,2016,9650
01077,2015,9640
01077,2014,9599
01077,2013,9552
01077,2012,9496
01077,2011,9425
01077,2010,9502
01079,2016,811
01079,2015,593
01079,2014,542
01079,2013,495
01079,2012,492
01079,2011,195
01079,2010,692
01080,2016,2452
01080,2015,2286
01080,2014,2176
01080,2013,2012
01080,2012,2329
01080,2011,2527
01080,2010,2334
01081,2016,1823
01081,2015,1720
01081,2014,1807
01081,2013,1703
01081,2012,1862
01081,2011,1812
01081,2010,1698
01082,2016,10612
01082,2015,10460
01082,2014,10394
01082,2013,10318
01082,2012,10265
01082,2011,10175
01082,2010,10322
01083,2016,3148
01083,2015,2960
01083,2014,3108
01083,2013,3137
01083,2012,2913
01083,2011,2928
01083,2010,2888
01084,2016,154
01084,2015,155
01084,2014,211
01084,2013,209
01084,2012,239
01084,2011,235
01084,2010,176
01085,2016,41479
01085,2015,41509
01085,2014,41121
01085,2013,40721
01085,2012,40590
01085,2011,40212
01085,2010,41117
01086,2016,690
01086,2015,685
01086,2014,1038
01086,2013,1219
01086,2012,1298
01086,2011,1463
01086,2010,687
01088,2016,433
01088,2015,493
01088,2014,446
01088,2013,451
01088,2012,595
01088,2011,719
01088,2010,670
01089,2016,28575
01089,2015,28600
01089,2014,28554
01089,2013,28498
01089,2012,28411
01089,2011,28320
01089,2010,28391
01092,2016,1191
01092,2015,1291
01092,2014,1078
01092,2013,1080
01092,2012,1440
01092,2011,1460
01092,2010,1394
01093,2016,289
01093,2015,307
01093,2014,282
01093,2013,282
01093,2012,298
01093,2011,355
01093,2010,325
01094,2016,347
01094,2015,336
01094,2014,310
01094,2013,340
01094,2012,240
01094,2011,214
01094,2010,351
01095,2016,14569
01095,2015,14514
01095,2014,14436
01095,2013,14344
01095,2012,14275
01095,2011,14183
01095,2010,14319
01096,2016,2564
01096,2015,2494
01096,2014,2522
01096,2013,2249
01096,2012,2220
01096,2011,2078
01096,2010,2217
01097,2016,78
01097,2015,31
01097,2014,36
01097,2013,83
01097,2012,83
01097,2011,53
01097,2010,111
01098,2016,1117
01098,2015,1149
01098,2014,1095
01098,2013,1081
01098,2012,1138
01098,2011,1136
01098,2010,1101
01103,2016,2430
01103,2015,2564
01103,2014,2472
01103,2013,2556
01103,2012,2340
01103,2011,2481
01103,2010,2479
01104,2016,23183
01104,2015,23485
01104,2014,22285
01104,2013,23083
01104,2012,22833
01104,2011,23038
01104,2010,22865
01105,2016,11576
01105,2015,12027
01105,2014,12054
01105,2013,12360
01105,2012,12664
01105,2011,13105
01105,2010,12350
01106,2016,15983
01106,2015,16007
01106,2014,16077
01106,2013,16018
01106,2012,16079
01106,2011,16087
01106,2010,16021
01107,2016,11474
01107,2015,11224
01107,2014,11706
01107,2013,11271
01107,2012,11071
01107,2011,11368
01107,2010,11611
01108,2016,28449
01108,2015,27342
01108,2014,26670
01108,2013,25755
01108,2012,25551
01108,2011,24808
01108,2010,26688
01109,2016,30139
01109,2015,30541
01109,2014,30987
01109,2013,31429
01109,2012,31503
01109,2011,31134
01109,2010,30250
01118,2016,14293
01118,2015,14453
01118,2014,14192
01118,2013,13722
01118,2012,13762
01118,2011,13754
01118,2010,14071
01119,2016,13091
01119,2015,13269
01119,2014,13942
01119,2013,13962
01119,2012,14946
01119,2011,15044
01119,2010,14152
01128,2016,2695
01128,2015,2498
01128,2014,2568
01128,2013,2468
01128,2012,2347
01128,2011,2536
01128,2010,2631
01129,2016,7220
01129,2015,7377
01129,2014,7160
01129,2013,7505
01129,2012,7330
01129,2011,7165
01129,2010,7019
01151,2016,9295
01151,2015,9037
01151,2014,9581
01151,2013,9134
01151,2012,8655
01151,2011,8244
01151,2010,8698
01199,2016,0
01199,2015,0
01199,2014,0
01199,2013,0
01199,2012,0
01199,2011,0
01199,2010,0
01201,2016,45001
01201,2015,45328
01201,2014,45557
01201,2013,45887
01201,2012,45975
01201,2011,46257
01201,2010,46504
01220,2016,8266
01220,2015,8391
01220,2014,8536
01220,2013,8586
01220,2012,8657
01220,2011,8706
01220,2010,8603
01222,2016,829
01222,2015,812
01222,2014,811
01222,2013,805
01222,2012,875
01222,2011,783
01222,2010,829
01223,2016,2247
01223,2015,2294
01223,2014,2336
01223,2013,2346
01223,2012,2399
01223,2011,2358
01223,2010,2314
01224,2016,176
01224,2015,138
01224,2014,242
01224,2013,322
01224,2012,291
01224,2011,249
